claw length cm,endangered,size cm,specie,sub specie,tail length cm,weight kg
7.243,least concern,49.09,three toed,Pale throated sloth,4.406,3.942
7.156,least concern,50.434,three toed,Pale throated sloth,3.66,5.096
7.102,least concern,48.629,three toed,Pale throated sloth,4.412,3.669
6.582,least concern,50.461,three toed,Pale throated sloth,4.809,4.327
7.438,least concern,50.14,three toed,Pale throated sloth,4.277,4.899
7.589,least concern,49.876,three toed,Pale throated sloth,5.024,5.453
8.897,least concern,49.579,three toed,Pale throated sloth,5.004,3.454
8.037,least concern,51.18,three toed,Pale throated sloth,6.618,6.338
7.501,least concern,50.277,three toed,Pale throated sloth,4.487,4.859
6.619,least concern,49.322,three toed,Pale throated sloth,5.422,4.119
7.075,least concern,50.809,three toed,Pale throated sloth,4.749,4.356
8.087,least concern,51.631,three toed,Pale throated sloth,6.163,3.824
8.478,least concern,52.034,three toed,Pale throated sloth,7.4,5.649
8.582,least concern,50.818,three toed,Pale throated sloth,4.609,4.365
8.175,least concern,50.327,three toed,Pale throated sloth,3.518,5.215
8.729,least concern,48.571,three toed,Pale throated sloth,2.949,5.431
7.402,least concern,50.11,three toed,Pale throated sloth,4.992,4.566
8.868,least concern,48.404,three toed,Pale throated sloth,7.29,4.244
7.087,least concern,50.106,three toed,Pale throated sloth,4.947,3.68
7.062,least concern,51.525,three toed,Pale throated sloth,3.351,3.915
6.801,least concern,48.444,three toed,Pale throated sloth,4.144,4.955
9.833,least concern,50.9,three toed,Pale throated sloth,5.732,4.937
8.38,least concern,49.324,three toed,Pale throated sloth,6.122,4.89
7.909,least concern,49.188,three toed,Pale throated sloth,5.125,4.637
10.092,least concern,49.555,three toed,Pale throated sloth,4.877,3.878
5.14,least concern,48.447,three toed,Pale throated sloth,5.042,3.421
8.703,least concern,49.875,three toed,Pale throated sloth,5.286,3.782
6.107,least concern,49.883,three toed,Pale throated sloth,7.01,4.536
7.56,least concern,50.16,three toed,Pale throated sloth,5.117,5.971
7.454,least concern,49.668,three toed,Pale throated sloth,3.161,4.105
8.156,least concern,50.283,three toed,Pale throated sloth,4.872,4.307
7.773,least concern,50.233,three toed,Pale throated sloth,5.113,4.343
7.064,least concern,50.416,three toed,Pale throated sloth,5.836,5.537
7.573,least concern,49.164,three toed,Pale throated sloth,4.113,4.086
8.919,least concern,49.169,three toed,Pale throated sloth,4.05,4.635
6.547,least concern,48.178,three toed,Pale throated sloth,6.205,6.054
4.113,least concern,50.302,three toed,Pale throated sloth,3.419,5.776
8.592,least concern,50.375,three toed,Pale throated sloth,6.2,6.121
8.357,least concern,50.175,three toed,Pale throated sloth,5.51,5.394
8.121,least concern,51.714,three toed,Pale throated sloth,4.53,4.28
9.015,least concern,48.116,three toed,Pale throated sloth,4.61,3.949
7.854,least concern,50.445,three toed,Pale throated sloth,4.542,3.809
7.425,least concern,50.213,three toed,Pale throated sloth,5.368,4.744
8.143,least concern,49.188,three toed,Pale throated sloth,5.491,3.516
6.818,least concern,50.556,three toed,Pale throated sloth,6.282,5.23
9.37,least concern,50.025,three toed,Pale throated sloth,6.875,4.134
8.888,least concern,48.339,three toed,Pale throated sloth,4.746,4.359
7.013,least concern,50.644,three toed,Pale throated sloth,4.404,3.842
8.551,least concern,49.514,three toed,Pale throated sloth,4.531,3.551
5.293,least concern,50.637,three toed,Pale throated sloth,6.579,4.52
9.897,least concern,50.707,three toed,Pale throated sloth,7.451,5.696
7.578,least concern,50.659,three toed,Pale throated sloth,4.215,2.882
7.061,least concern,49.537,three toed,Pale throated sloth,4.322,7.011
6.608,least concern,49.063,three toed,Pale throated sloth,5.2,4.257
8.103,least concern,50.567,three toed,Pale throated sloth,4.344,4.642
8.36,least concern,51.891,three toed,Pale throated sloth,4.723,4.726
6.974,least concern,51.187,three toed,Pale throated sloth,5.602,6.613
7.623,least concern,49.119,three toed,Pale throated sloth,4.929,6.782
8.842,least concern,49.454,three toed,Pale throated sloth,4.423,4.539
7.748,least concern,49.366,three toed,Pale throated sloth,4.484,4.782
7.195,least concern,51.557,three toed,Pale throated sloth,5.146,4.509
9.63,least concern,49.443,three toed,Pale throated sloth,3.295,3.543
7.461,least concern,50.441,three toed,Pale throated sloth,4.727,2.83
6.979,least concern,49.888,three toed,Pale throated sloth,5.838,3.73
8.386,least concern,48.086,three toed,Pale throated sloth,5.481,3.712
6.415,least concern,48.364,three toed,Pale throated sloth,5.99,4.289
6.787,least concern,48.801,three toed,Pale throated sloth,4.164,4.866
8.619,least concern,52.227,three toed,Pale throated sloth,2.836,6.162
9.045,least concern,48.682,three toed,Pale throated sloth,2.359,3.913
7.594,least concern,49.542,three toed,Pale throated sloth,3.598,5.569
6.687,least concern,51.801,three toed,Pale throated sloth,5.071,3.162
8.239,least concern,50.164,three toed,Pale throated sloth,6.599,4.968
7.97,least concern,50.033,three toed,Pale throated sloth,5.281,4.864
6.246,least concern,52.758,three toed,Pale throated sloth,5.199,4.768
7.643,least concern,50.173,three toed,Pale throated sloth,4.482,3.815
8.129,least concern,49.262,three toed,Pale throated sloth,6.061,6.057
7.607,least concern,51.065,three toed,Pale throated sloth,3.87,5.761
7.41,least concern,50.694,three toed,Pale throated sloth,5.826,4.874
10.184,least concern,48.641,three toed,Pale throated sloth,4.99,3.959
6.242,least concern,47.945,three toed,Pale throated sloth,5.846,5.52
6.491,least concern,50.685,three toed,Pale throated sloth,4.159,2.937
7.292,least concern,49.573,three toed,Pale throated sloth,6.399,4.528
7.798,least concern,48.127,three toed,Pale throated sloth,5.094,5.253
5.951,least concern,52.399,three toed,Pale throated sloth,5.532,4.948
8.049,least concern,50.153,three toed,Pale throated sloth,5.006,4.575
7.035,least concern,48.382,three toed,Pale throated sloth,3.018,5.464
7.232,least concern,48.869,three toed,Pale throated sloth,5.028,5.75
8.02,least concern,50.797,three toed,Pale throated sloth,4.814,4.627
7.759,least concern,50.054,three toed,Pale throated sloth,3.522,4.169
7.876,least concern,48.991,three toed,Pale throated sloth,3.241,6.442
7.334,least concern,49.926,three toed,Pale throated sloth,4.722,4.177
7.744,least concern,49.526,three toed,Pale throated sloth,4.706,6.251
8.095,least concern,49.178,three toed,Pale throated sloth,4.506,3.577
8.596,least concern,49.921,three toed,Pale throated sloth,4.3,3.487
6.866,least concern,49.133,three toed,Pale throated sloth,4.176,3.3
5.332,least concern,50.037,three toed,Pale throated sloth,4.996,4.601
8.74,least concern,50.77,three toed,Pale throated sloth,5.292,4.683
8.799,least concern,48.872,three toed,Pale throated sloth,6.082,4.221
5.495,least concern,50.861,three toed,Pale throated sloth,4.147,5.232
6.681,least concern,49.769,three toed,Pale throated sloth,6.327,3.423
6.775,least concern,48.566,three toed,Pale throated sloth,6.181,3.677
8.749,least concern,48.542,three toed,Pale throated sloth,3.805,4.263
9.403,least concern,49.444,three toed,Pale throated sloth,3.191,3.577
8.279,least concern,50.743,three toed,Pale throated sloth,5.104,4.587
6.023,least concern,49.586,three toed,Pale throated sloth,6.293,4.246
7.375,least concern,49.658,three toed,Pale throated sloth,4.127,4.164
6.952,least concern,50.09,three toed,Pale throated sloth,6.772,4.554
5.839,least concern,49.312,three toed,Pale throated sloth,3.408,7.11
8.853,least concern,49.503,three toed,Pale throated sloth,5.117,4.59
8.578,least concern,50.753,three toed,Pale throated sloth,5.431,5.299
7.305,least concern,50.576,three toed,Pale throated sloth,3.607,4.111
7.648,least concern,50.976,three toed,Pale throated sloth,5.041,5.107
5.7,least concern,49.965,three toed,Pale throated sloth,4.939,4.805
7.582,least concern,50.146,three toed,Pale throated sloth,7.606,7.629
7.64,least concern,46.928,three toed,Pale throated sloth,5.409,4.517
8.943,least concern,48.647,three toed,Pale throated sloth,5.154,3.712
7.683,least concern,50.872,three toed,Pale throated sloth,5.327,2.941
8.165,least concern,50.698,three toed,Pale throated sloth,5.403,4.752
7.884,least concern,51.466,three toed,Pale throated sloth,5.127,4.825
8.74,least concern,50.231,three toed,Pale throated sloth,4.235,3.768
6.371,least concern,50.548,three toed,Pale throated sloth,2.722,4.476
5.343,least concern,52.162,three toed,Pale throated sloth,6.075,3.7
6.297,least concern,49.878,three toed,Pale throated sloth,4.004,6.778
5.459,least concern,48.994,three toed,Pale throated sloth,7.615,5.254
8.008,least concern,49.118,three toed,Pale throated sloth,5.007,5.687
6.277,least concern,49.319,three toed,Pale throated sloth,5.447,5.747
8.886,least concern,49.416,three toed,Pale throated sloth,3.018,5.144
6.971,least concern,51.382,three toed,Pale throated sloth,4.952,3.283
6.439,least concern,50.162,three toed,Pale throated sloth,5.788,4.329
9.163,least concern,48.412,three toed,Pale throated sloth,4.902,5.735
7.944,least concern,48.903,three toed,Pale throated sloth,6.895,3.664
6.265,least concern,50.774,three toed,Pale throated sloth,4.818,3.533
8.217,least concern,50.431,three toed,Pale throated sloth,4.391,6.117
7.602,least concern,50.501,three toed,Pale throated sloth,7.18,6.058
8.477,least concern,50.618,three toed,Pale throated sloth,4.039,4.553
7.399,least concern,49.622,three toed,Pale throated sloth,5.608,3.171
8.86,least concern,50.152,three toed,Pale throated sloth,5.425,4.635
8.204,least concern,49.211,three toed,Pale throated sloth,5.399,5.334
7.659,least concern,49.273,three toed,Pale throated sloth,5.084,5.536
9.164,least concern,48.832,three toed,Pale throated sloth,5.437,3.136
7.235,least concern,50.05,three toed,Pale throated sloth,5.797,5.022
6.273,least concern,49.958,three toed,Pale throated sloth,6.893,3.923
7.381,least concern,49.518,three toed,Pale throated sloth,4.49,5.147
7.172,least concern,48.587,three toed,Pale throated sloth,5.203,6.223
7.853,least concern,51.203,three toed,Pale throated sloth,5.706,5.272
8.915,least concern,51.006,three toed,Pale throated sloth,4.897,4.712
8.147,least concern,49.135,three toed,Pale throated sloth,5.286,6.034
7.343,least concern,51.826,three toed,Pale throated sloth,4.323,2.47
7.91,least concern,49.999,three toed,Pale throated sloth,5.085,5.365
7.267,least concern,50.001,three toed,Pale throated sloth,5.603,4.64
7.062,least concern,50.594,three toed,Pale throated sloth,5.517,5.463
8.482,least concern,49.347,three toed,Pale throated sloth,4.906,4.816
7.906,least concern,50.238,three toed,Pale throated sloth,4.708,5.693
7.819,least concern,50.102,three toed,Pale throated sloth,3.411,4.297
7.617,least concern,50.14,three toed,Pale throated sloth,5.361,5.025
5.619,least concern,50.968,three toed,Pale throated sloth,5.179,4.81
6.612,least concern,49.504,three toed,Pale throated sloth,4.926,4.859
7.276,least concern,49.314,three toed,Pale throated sloth,5.42,4.888
5.201,least concern,49.657,three toed,Pale throated sloth,3.698,4.458
8.379,least concern,48.738,three toed,Pale throated sloth,4.042,3.903
7.546,least concern,50.151,three toed,Pale throated sloth,3.213,3.862
6.041,least concern,50.438,three toed,Pale throated sloth,4.375,4.306
6.418,least concern,50.962,three toed,Pale throated sloth,5.259,3.414
7.288,least concern,50.155,three toed,Pale throated sloth,4.587,5.669
5.564,least concern,50.841,three toed,Pale throated sloth,4.93,4.746
8.673,least concern,49.747,three toed,Pale throated sloth,4.41,4.841
7.625,least concern,50.124,three toed,Pale throated sloth,3.718,3.368
6.402,least concern,50.174,three toed,Pale throated sloth,4.861,4.635
8.092,least concern,50.527,three toed,Pale throated sloth,2.234,4.833
8.164,least concern,50.748,three toed,Pale throated sloth,4.081,4.47
6.445,least concern,49.334,three toed,Pale throated sloth,4.593,3.587
7.507,least concern,50.618,three toed,Pale throated sloth,4.615,6.224
6.987,least concern,49.649,three toed,Pale throated sloth,5.398,6.416
5.823,least concern,50.156,three toed,Pale throated sloth,5.21,5.249
7.246,least concern,49.588,three toed,Pale throated sloth,5.211,3.887
6.404,least concern,50.735,three toed,Pale throated sloth,4.768,6.706
8.634,least concern,50.007,three toed,Pale throated sloth,7.016,4.895
7.881,least concern,51.774,three toed,Pale throated sloth,6.427,5.696
7.115,least concern,50.98,three toed,Pale throated sloth,4.56,2.357
7.344,least concern,49.019,three toed,Pale throated sloth,6.521,2.696
9.621,least concern,50.91,three toed,Pale throated sloth,5.072,3.298
6.452,least concern,49.259,three toed,Pale throated sloth,4.645,3.475
7.642,least concern,50.464,three toed,Pale throated sloth,5.773,4.602
7.361,least concern,50.417,three toed,Pale throated sloth,4.11,5.058
8.659,least concern,49.665,three toed,Pale throated sloth,6.512,4.143
8.017,least concern,49.368,three toed,Pale throated sloth,4.528,4.335
5.237,least concern,48.849,three toed,Pale throated sloth,5.355,5.124
6.466,least concern,49.956,three toed,Pale throated sloth,7.015,5.644
7.467,least concern,50.265,three toed,Pale throated sloth,3.884,4.766
7.213,least concern,52.156,three toed,Pale throated sloth,5.361,4.291
9.603,least concern,50.252,three toed,Pale throated sloth,2.955,6.079
5.826,least concern,50.712,three toed,Pale throated sloth,6.133,4.314
8.315,least concern,49.75,three toed,Pale throated sloth,3.671,4.0
8.152,least concern,49.551,three toed,Pale throated sloth,4.285,3.909
5.695,least concern,49.836,three toed,Pale throated sloth,5.329,3.998
7.001,least concern,50.089,three toed,Pale throated sloth,4.518,4.396
6.869,least concern,51.853,three toed,Pale throated sloth,5.172,4.919
7.433,least concern,49.284,three toed,Pale throated sloth,4.715,4.131
7.115,least concern,49.49,three toed,Pale throated sloth,6.412,4.609
6.362,least concern,49.222,three toed,Pale throated sloth,3.547,4.837
7.26,least concern,50.029,three toed,Pale throated sloth,4.131,3.139
6.959,least concern,49.269,three toed,Pale throated sloth,4.279,5.887
7.544,least concern,50.788,three toed,Pale throated sloth,5.945,4.536
5.783,least concern,49.737,three toed,Pale throated sloth,3.483,6.033
8.751,least concern,51.939,three toed,Pale throated sloth,6.285,6.652
6.885,least concern,53.643,three toed,Pale throated sloth,5.45,4.045
8.945,least concern,50.529,three toed,Pale throated sloth,5.68,4.395
7.921,least concern,49.43,three toed,Pale throated sloth,6.233,3.658
8.459,least concern,48.157,three toed,Pale throated sloth,4.63,4.474
6.063,least concern,51.251,three toed,Pale throated sloth,5.033,5.776
9.268,least concern,49.823,three toed,Pale throated sloth,6.147,4.704
7.873,least concern,49.582,three toed,Pale throated sloth,5.484,5.796
8.175,least concern,49.892,three toed,Pale throated sloth,4.822,7.327
7.801,least concern,49.031,three toed,Pale throated sloth,4.352,4.343
9.702,least concern,49.654,three toed,Pale throated sloth,5.838,4.046
6.919,least concern,50.821,three toed,Pale throated sloth,4.566,5.597
5.397,least concern,50.114,three toed,Pale throated sloth,5.144,5.016
6.805,least concern,49.407,three toed,Pale throated sloth,5.55,5.979
8.364,least concern,49.864,three toed,Pale throated sloth,4.796,3.78
8.318,least concern,50.555,three toed,Pale throated sloth,3.754,5.503
5.943,least concern,48.484,three toed,Pale throated sloth,6.579,5.902
7.436,least concern,50.414,three toed,Pale throated sloth,4.382,3.361
8.981,least concern,48.917,three toed,Pale throated sloth,6.649,4.272
8.268,least concern,49.614,three toed,Pale throated sloth,4.457,5.046
7.784,least concern,50.155,three toed,Pale throated sloth,3.873,5.335
6.427,least concern,48.078,three toed,Pale throated sloth,5.893,3.205
7.126,least concern,51.532,three toed,Pale throated sloth,3.595,5.593
8.027,least concern,49.072,three toed,Pale throated sloth,4.322,3.204
7.721,least concern,50.307,three toed,Pale throated sloth,5.84,3.822
9.851,least concern,48.86,three toed,Pale throated sloth,4.001,3.8
9.294,least concern,50.387,three toed,Pale throated sloth,4.234,4.766
8.05,least concern,49.645,three toed,Pale throated sloth,6.923,5.601
8.472,least concern,48.511,three toed,Pale throated sloth,4.164,4.135
7.298,least concern,49.678,three toed,Pale throated sloth,3.458,5.31
7.474,least concern,52.163,three toed,Pale throated sloth,5.445,3.9
7.893,least concern,51.219,three toed,Pale throated sloth,4.079,4.651
9.38,least concern,50.499,three toed,Pale throated sloth,4.837,2.986
5.9,least concern,48.382,three toed,Pale throated sloth,5.391,5.547
8.734,least concern,51.135,three toed,Pale throated sloth,6.557,3.424
7.482,least concern,50.653,three toed,Pale throated sloth,4.223,5.226
7.592,least concern,48.472,three toed,Pale throated sloth,3.628,5.684
6.818,least concern,49.474,three toed,Pale throated sloth,2.735,3.479
7.033,least concern,50.552,three toed,Pale throated sloth,5.206,5.356
9.074,least concern,48.363,three toed,Pale throated sloth,4.834,3.975
7.695,least concern,48.996,three toed,Pale throated sloth,5.202,4.403
6.082,least concern,49.112,three toed,Pale throated sloth,6.075,4.555
8.396,least concern,49.567,three toed,Pale throated sloth,4.322,3.779
6.874,least concern,49.573,three toed,Pale throated sloth,4.889,3.467
6.624,least concern,51.063,three toed,Pale throated sloth,4.502,4.835
7.89,least concern,49.905,three toed,Pale throated sloth,6.756,3.7
8.772,least concern,49.589,three toed,Pale throated sloth,5.059,4.727
6.747,least concern,49.536,three toed,Pale throated sloth,3.522,4.564
6.872,least concern,50.785,three toed,Pale throated sloth,3.651,4.591
9.282,least concern,50.435,three toed,Pale throated sloth,4.078,4.772
7.134,least concern,48.996,three toed,Pale throated sloth,5.896,2.477
8.017,least concern,51.279,three toed,Pale throated sloth,6.086,6.283
7.215,least concern,49.932,three toed,Pale throated sloth,5.139,4.249
6.519,least concern,50.927,three toed,Pale throated sloth,6.699,7.955
8.869,least concern,50.212,three toed,Pale throated sloth,4.822,4.834
5.918,least concern,50.962,three toed,Pale throated sloth,6.104,3.663
7.026,least concern,51.376,three toed,Pale throated sloth,6.432,4.074
8.843,least concern,49.486,three toed,Pale throated sloth,4.63,4.686
7.851,least concern,50.038,three toed,Pale throated sloth,5.311,5.199
7.458,least concern,51.996,three toed,Pale throated sloth,3.346,5.673
8.215,least concern,49.792,three toed,Pale throated sloth,5.088,5.029
7.484,least concern,50.933,three toed,Pale throated sloth,5.192,3.743
7.564,least concern,51.271,three toed,Pale throated sloth,4.85,5.067
6.552,least concern,48.435,three toed,Pale throated sloth,6.429,4.833
6.69,least concern,50.379,three toed,Pale throated sloth,2.218,4.244
4.998,least concern,51.392,three toed,Pale throated sloth,4.358,3.519
6.033,least concern,50.435,three toed,Pale throated sloth,3.63,3.148
9.71,least concern,49.63,three toed,Pale throated sloth,3.726,5.746
7.81,least concern,50.52,three toed,Pale throated sloth,4.635,5.272
7.871,least concern,49.592,three toed,Pale throated sloth,5.157,2.866
6.195,least concern,50.46,three toed,Pale throated sloth,6.327,5.623
8.42,least concern,50.411,three toed,Pale throated sloth,5.023,4.928
9.073,least concern,50.518,three toed,Pale throated sloth,6.299,3.491
7.469,least concern,50.963,three toed,Pale throated sloth,4.705,3.297
8.466,least concern,50.34,three toed,Pale throated sloth,5.275,4.465
6.986,least concern,50.977,three toed,Pale throated sloth,5.321,4.628
6.711,least concern,50.345,three toed,Pale throated sloth,5.37,4.489
6.138,least concern,49.47,three toed,Pale throated sloth,5.0,5.499
7.321,least concern,51.083,three toed,Pale throated sloth,7.523,4.84
6.109,least concern,49.639,three toed,Pale throated sloth,6.029,3.03
8.301,least concern,49.677,three toed,Pale throated sloth,6.101,4.749
7.109,least concern,50.84,three toed,Pale throated sloth,5.802,3.243
8.171,least concern,50.719,three toed,Pale throated sloth,4.493,4.633
8.455,least concern,48.993,three toed,Pale throated sloth,5.435,6.359
5.853,least concern,51.452,three toed,Pale throated sloth,5.736,3.926
7.529,least concern,48.198,three toed,Pale throated sloth,5.051,6.165
6.322,least concern,51.036,three toed,Pale throated sloth,4.965,4.183
7.411,least concern,50.016,three toed,Pale throated sloth,4.596,5.517
7.94,least concern,51.33,three toed,Pale throated sloth,4.9,4.551
7.794,least concern,49.66,three toed,Pale throated sloth,4.337,4.604
9.153,least concern,49.98,three toed,Pale throated sloth,4.578,5.311
7.656,least concern,50.306,three toed,Pale throated sloth,4.319,4.679
6.911,least concern,50.202,three toed,Pale throated sloth,5.436,5.826
8.052,least concern,49.489,three toed,Pale throated sloth,5.6,4.643
7.435,least concern,49.071,three toed,Pale throated sloth,5.14,4.387
6.664,least concern,48.891,three toed,Pale throated sloth,5.263,3.961
8.061,least concern,50.31,three toed,Pale throated sloth,6.411,4.768
6.689,least concern,50.507,three toed,Pale throated sloth,5.958,4.546
6.958,least concern,51.803,three toed,Pale throated sloth,6.305,4.183
6.639,least concern,48.73,three toed,Pale throated sloth,3.873,5.674
8.658,least concern,51.028,three toed,Pale throated sloth,5.683,5.151
8.323,least concern,50.073,three toed,Pale throated sloth,7.263,4.153
6.752,least concern,47.986,three toed,Pale throated sloth,5.057,4.639
8.201,least concern,50.566,three toed,Pale throated sloth,4.033,4.821
6.693,least concern,48.347,three toed,Pale throated sloth,5.909,3.739
7.59,least concern,50.216,three toed,Pale throated sloth,4.194,3.69
9.136,least concern,48.362,three toed,Pale throated sloth,5.556,4.576
5.379,least concern,50.438,three toed,Pale throated sloth,5.22,4.37
7.159,least concern,48.469,three toed,Pale throated sloth,4.827,4.648
6.727,least concern,51.328,three toed,Pale throated sloth,6.588,5.511
8.481,least concern,52.137,three toed,Pale throated sloth,5.643,3.275
6.436,least concern,48.832,three toed,Pale throated sloth,3.799,3.204
7.794,least concern,49.71,three toed,Pale throated sloth,6.097,4.943
8.171,least concern,49.208,three toed,Pale throated sloth,4.81,4.424
9.219,least concern,47.38,three toed,Pale throated sloth,5.116,3.16
6.45,least concern,49.188,three toed,Pale throated sloth,5.553,3.726
8.547,least concern,47.744,three toed,Pale throated sloth,4.748,3.569
7.922,least concern,49.931,three toed,Pale throated sloth,7.763,3.76
9.132,least concern,48.04,three toed,Pale throated sloth,5.598,5.986
7.198,least concern,48.208,three toed,Pale throated sloth,3.032,3.871
7.931,least concern,50.339,three toed,Pale throated sloth,5.339,4.007
8.257,least concern,49.295,three toed,Pale throated sloth,5.487,4.239
8.013,least concern,47.575,three toed,Pale throated sloth,5.985,4.352
7.18,least concern,50.232,three toed,Pale throated sloth,4.423,4.118
7.319,least concern,48.563,three toed,Pale throated sloth,4.681,6.019
5.89,least concern,48.389,three toed,Pale throated sloth,4.801,6.013
8.067,least concern,51.028,three toed,Pale throated sloth,4.157,6.28
9.015,least concern,48.707,three toed,Pale throated sloth,4.671,4.404
5.872,least concern,49.238,three toed,Pale throated sloth,4.804,3.725
7.488,least concern,50.452,three toed,Pale throated sloth,5.199,5.714
8.134,least concern,50.038,three toed,Pale throated sloth,4.584,5.114
8.079,least concern,49.381,three toed,Pale throated sloth,3.909,4.761
6.783,least concern,50.114,three toed,Pale throated sloth,5.019,3.744
6.421,least concern,49.897,three toed,Pale throated sloth,5.336,5.161
7.506,least concern,50.069,three toed,Pale throated sloth,7.001,5.805
6.727,least concern,49.011,three toed,Pale throated sloth,3.972,4.516
6.572,least concern,49.808,three toed,Pale throated sloth,5.137,2.982
8.304,least concern,48.966,three toed,Pale throated sloth,5.438,4.971
8.517,least concern,50.4,three toed,Pale throated sloth,6.762,3.195
6.872,least concern,49.225,three toed,Pale throated sloth,3.523,6.003
7.321,least concern,49.294,three toed,Pale throated sloth,4.67,5.903
6.187,least concern,50.242,three toed,Pale throated sloth,5.418,3.459
6.27,least concern,50.108,three toed,Pale throated sloth,4.482,3.799
6.962,least concern,50.727,three toed,Pale throated sloth,5.694,5.318
6.517,least concern,50.964,three toed,Pale throated sloth,4.592,4.274
6.934,least concern,50.455,three toed,Pale throated sloth,4.309,5.413
8.074,least concern,50.586,three toed,Pale throated sloth,4.541,4.113
7.485,least concern,50.313,three toed,Pale throated sloth,5.982,2.512
8.613,least concern,50.042,three toed,Pale throated sloth,2.819,5.149
9.524,least concern,48.851,three toed,Pale throated sloth,5.432,4.921
6.542,least concern,50.863,three toed,Pale throated sloth,3.301,5.591
7.151,least concern,47.823,three toed,Pale throated sloth,6.564,4.729
8.125,least concern,50.106,three toed,Pale throated sloth,4.042,3.693
8.102,least concern,51.623,three toed,Pale throated sloth,4.773,5.233
8.592,least concern,48.721,three toed,Pale throated sloth,5.292,5.602
6.585,least concern,49.719,three toed,Pale throated sloth,5.907,3.62
6.645,least concern,49.743,three toed,Pale throated sloth,5.693,3.11
6.268,least concern,50.153,three toed,Pale throated sloth,5.347,3.527
6.998,least concern,49.415,three toed,Pale throated sloth,4.502,5.341
7.513,least concern,50.896,three toed,Pale throated sloth,3.831,4.24
7.067,least concern,50.0,three toed,Pale throated sloth,4.21,5.47
8.312,least concern,50.507,three toed,Pale throated sloth,4.201,4.033
8.386,least concern,50.904,three toed,Pale throated sloth,3.996,6.512
10.04,least concern,50.59,three toed,Pale throated sloth,4.491,4.267
6.845,least concern,50.146,three toed,Pale throated sloth,4.853,5.61
7.405,least concern,49.506,three toed,Pale throated sloth,2.861,4.82
9.261,least concern,48.314,three toed,Pale throated sloth,6.022,4.752
7.636,least concern,49.401,three toed,Pale throated sloth,5.315,4.958
6.712,least concern,48.873,three toed,Pale throated sloth,5.132,4.47
7.442,least concern,48.507,three toed,Pale throated sloth,4.107,4.775
7.363,least concern,50.142,three toed,Pale throated sloth,5.067,6.709
8.266,least concern,49.772,three toed,Pale throated sloth,6.349,4.348
6.126,least concern,49.195,three toed,Pale throated sloth,5.975,5.634
5.717,least concern,49.291,three toed,Pale throated sloth,6.633,5.057
6.645,least concern,51.078,three toed,Pale throated sloth,6.112,4.232
6.163,least concern,50.779,three toed,Pale throated sloth,3.335,4.585
9.059,least concern,50.047,three toed,Pale throated sloth,5.32,4.269
6.748,least concern,50.773,three toed,Pale throated sloth,6.774,3.309
6.234,least concern,49.607,three toed,Pale throated sloth,5.004,3.577
6.497,least concern,50.291,three toed,Pale throated sloth,5.007,4.631
9.479,least concern,49.036,three toed,Pale throated sloth,3.733,5.68
7.133,least concern,48.403,three toed,Pale throated sloth,5.89,6.077
8.7,least concern,51.309,three toed,Pale throated sloth,5.451,3.199
9.605,least concern,50.254,three toed,Pale throated sloth,2.657,3.834
6.718,least concern,51.424,three toed,Pale throated sloth,4.133,3.077
8.365,least concern,50.331,three toed,Pale throated sloth,5.487,2.315
6.413,least concern,49.75,three toed,Pale throated sloth,4.537,4.354
8.493,least concern,48.217,three toed,Pale throated sloth,4.103,7.737
7.549,least concern,49.662,three toed,Pale throated sloth,5.621,6.133
7.356,least concern,47.868,three toed,Pale throated sloth,6.487,4.099
5.812,least concern,49.561,three toed,Pale throated sloth,3.716,4.642
7.07,least concern,49.749,three toed,Pale throated sloth,4.09,6.033
7.716,least concern,49.565,three toed,Pale throated sloth,5.301,4.254
8.016,least concern,51.696,three toed,Pale throated sloth,3.869,5.796
7.827,least concern,48.489,three toed,Pale throated sloth,5.93,7.24
8.746,least concern,49.083,three toed,Pale throated sloth,4.818,5.245
7.655,least concern,51.07,three toed,Pale throated sloth,6.255,5.282
6.152,least concern,49.097,three toed,Pale throated sloth,6.045,5.101
7.445,least concern,49.45,three toed,Pale throated sloth,6.06,3.577
7.424,least concern,50.881,three toed,Pale throated sloth,5.59,5.262
6.075,least concern,48.704,three toed,Pale throated sloth,6.208,6.021
4.799,least concern,49.477,three toed,Pale throated sloth,4.813,5.861
8.974,least concern,50.424,three toed,Pale throated sloth,3.636,5.945
7.773,least concern,47.351,three toed,Pale throated sloth,3.15,4.96
8.634,least concern,49.647,three toed,Pale throated sloth,4.814,4.914
4.864,least concern,51.829,three toed,Pale throated sloth,5.339,2.307
8.84,least concern,50.495,three toed,Pale throated sloth,4.861,3.876
6.572,least concern,50.197,three toed,Pale throated sloth,5.062,2.68
8.146,least concern,49.605,three toed,Pale throated sloth,5.71,6.051
6.694,least concern,50.536,three toed,Pale throated sloth,5.386,4.969
6.653,least concern,47.984,three toed,Pale throated sloth,4.794,3.08
7.33,least concern,52.835,three toed,Pale throated sloth,4.421,3.785
7.359,least concern,49.822,three toed,Pale throated sloth,5.857,5.101
7.146,least concern,48.112,three toed,Pale throated sloth,5.919,5.765
8.818,least concern,49.634,three toed,Pale throated sloth,5.33,4.237
6.518,least concern,48.598,three toed,Pale throated sloth,7.055,3.679
7.255,least concern,50.561,three toed,Pale throated sloth,4.449,5.396
5.999,least concern,48.864,three toed,Pale throated sloth,5.695,2.98
5.73,least concern,51.069,three toed,Pale throated sloth,5.43,5.504
