Countries,Year,Exports of all forms of Coffee in (x1000 60kg) bags
Philippines,2011,10
Rwanda,2011,277
Sierra Leone,2011,37
Sri Lanka,2011,2
Tanzania,2011,798
Thailand,2011,243
Timor-Leste,2011,39
Togo,2011,155
Trinidad & Tobago,2011,0
Uganda,2011,3142
Venezuela,2011,0
Viet Nam,2011,17717
Yemen,2011,35
Zambia,2011,9
Zimbabwe,2011,5
Angola,2012,8
Bolivia (Plurinational State of),2012,63
Brazil,2012,28549
Burundi,2012,392
Cameroon,2012,622
Central African Republic,2012,78
Colombia,2012,7170
Congo,2012,0
Costa Rica,2012,1374
Côte d'Ivoire,2012,1712
Cuba,2012,15
Democratic Republic of Congo,2012,146
Dominican Republic,2012,137
Ecuador,2012,1580
El Salvador,2012,1044
Equatorial Guinea,2012,0
Ethiopia,2012,3203
Gabon,2012,0
Ghana,2012,30
Guatemala,2012,3750
Guinea,2012,377
Guyana,2012,2
Haiti,2012,11
Honduras,2012,5508
India,2012,5044
Indonesia,2012,8206
Jamaica,2012,15
Kenya,2012,803
Lao People's Democratic Republic,2012,360
Liberia,2012,3
Madagascar,2012,79
Malawi,2012,20
Mexico,2012,3556
Nepal,2012,1
Nicaragua,2012,1987
Nigeria,2012,2
Panama,2012,51
Papua New Guinea,2012,925
Paraguay,2012,0
Peru,2012,4310
Philippines,2012,3
Rwanda,2012,251
Sierra Leone,2012,65
Sri Lanka,2012,0
Tanzania,2012,756
Thailand,2012,350
Timor-Leste,2012,56
Togo,2012,147
Trinidad & Tobago,2012,1
Uganda,2012,2685
Venezuela,2012,2
Viet Nam,2012,22920
Yemen,2012,63
Zambia,2012,7
Zimbabwe,2012,4
Angola,2013,6
Bolivia (Plurinational State of),2013,55
Brazil,2013,31651
Burundi,2013,195
Cameroon,2013,272
Central African Republic,2013,1
Colombia,2013,9670
Congo,2013,0
Costa Rica,2013,1344
Côte d'Ivoire,2013,1962
Cuba,2013,12
Democratic Republic of Congo,2013,140
Dominican Republic,2013,65
Ecuador,2013,1262
El Salvador,2013,1103
Equatorial Guinea,2013,0
Ethiopia,2013,2870
Gabon,2013,0
Ghana,2013,23
Guatemala,2013,3575
Guinea,2013,134
Guyana,2013,1
Haiti,2013,8
Honduras,2013,4185
India,2013,5033
Indonesia,2013,9255
Jamaica,2013,15
Kenya,2013,815
Lao People's Democratic Republic,2013,400
Liberia,2013,4
Madagascar,2013,166
Malawi,2013,29
Mexico,2013,3132
Nepal,2013,1
Nicaragua,2013,1661
Nigeria,2013,1
Panama,2013,49
Papua New Guinea,2013,811
Paraguay,2013,0
Peru,2013,3736
Philippines,2013,6
Rwanda,2013,254
Sierra Leone,2013,57
Sri Lanka,2013,0
Tanzania,2013,935
Thailand,2013,49
Timor-Leste,2013,70
Togo,2013,91
Trinidad & Tobago,2013,2
Uganda,2013,3672
Venezuela,2013,6
Viet Nam,2013,19718
Yemen,2013,55
Zambia,2013,10
Zimbabwe,2013,2
Angola,2014,9
Bolivia (Plurinational State of),2014,62
Brazil,2014,37335
Burundi,2014,252
Cameroon,2014,375
Central African Republic,2014,75
Colombia,2014,10954
Congo,2014,0
Costa Rica,2014,1209
Côte d'Ivoire,2014,1489
Cuba,2014,13
Democratic Republic of Congo,2014,151
Dominican Republic,2014,45
Ecuador,2014,1129
El Salvador,2014,462
Equatorial Guinea,2014,0
Ethiopia,2014,3117
Gabon,2014,0
Ghana,2014,26
Guatemala,2014,3043
Guinea,2014,24
Guyana,2014,13
Haiti,2014,3
Honduras,2014,4252
India,2014,5131
Indonesia,2014,6175
Jamaica,2014,10
Kenya,2014,799
Lao People's Democratic Republic,2014,370
Liberia,2014,1
Madagascar,2014,138
Malawi,2014,26
Mexico,2014,2480
Nepal,2014,1
Nicaragua,2014,1901
Nigeria,2014,1
Panama,2014,51
Papua New Guinea,2014,807
Paraguay,2014,0
Peru,2014,2720
Philippines,2014,12
Rwanda,2014,256
Sierra Leone,2014,24
Sri Lanka,2014,2
Tanzania,2014,718
Thailand,2014,27
Timor-Leste,2014,111
Togo,2014,134
Trinidad & Tobago,2014,2
Uganda,2014,3442
Venezuela,2014,0
Viet Nam,2014,26097
Yemen,2014,57
Zambia,2014,5
Zimbabwe,2014,11
Angola,2015,11
Bolivia (Plurinational State of),2015,30
Brazil,2015,37563
Burundi,2015,230
Cameroon,2015,390
Central African Republic,2015,43
Colombia,2015,12716
Congo,2015,0
Costa Rica,2015,1128
Côte d'Ivoire,2015,1418
Cuba,2015,13
Democratic Republic of Congo,2015,128
Dominican Republic,2015,19
Ecuador,2015,869
El Salvador,2015,576
Equatorial Guinea,2015,0
Ethiopia,2015,2985
Gabon,2015,0
Ghana,2015,40
Guatemala,2015,2961
Guinea,2015,152
Guyana,2015,2
Haiti,2015,3
Honduras,2015,5030
India,2015,5262
Indonesia,2015,8379
Jamaica,2015,12
Kenya,2015,712
Lao People's Democratic Republic,2015,403
Liberia,2015,4
Madagascar,2015,59
Malawi,2015,18
Mexico,2015,2458
Nepal,2015,2
Nicaragua,2015,1753
Nigeria,2015,3
Panama,2015,50
Papua New Guinea,2015,711
Paraguay,2015,0
Peru,2015,2790
Philippines,2015,15
Rwanda,2015,263
Sierra Leone,2015,54
Sri Lanka,2015,0
Tanzania,2015,709
Thailand,2015,578
Timor-Leste,2015,68
Togo,2015,178
Trinidad & Tobago,2015,2
Uganda,2015,3596
Venezuela,2015,1
Viet Nam,2015,21944
Yemen,2015,52
Zambia,2015,3
Zimbabwe,2015,11
Angola,2016,11
Bolivia (Plurinational State of),2016,22
Brazil,2016,34269
Burundi,2016,204
Cameroon,2016,281
Central African Republic,2016,80
Colombia,2016,12831
Congo,2016,0
Costa Rica,2016,1007
Côte d'Ivoire,2016,1432
Cuba,2016,15
Democratic Republic of Congo,2016,171
Dominican Republic,2016,19
Ecuador,2016,923
El Salvador,2016,496
Equatorial Guinea,2016,0
Ethiopia,2016,3001
Gabon,2016,0
Ghana,2016,27
Guatemala,2016,2991
Guinea,2016,250
Guyana,2016,2
Haiti,2016,1
Honduras,2016,5306
India,2016,6086
Indonesia,2016,6545
Jamaica,2016,11
Kenya,2016,727
Lao People's Democratic Republic,2016,386
Liberia,2016,3
Madagascar,2016,76
Malawi,2016,22
Mexico,2016,2233
Nepal,2016,2
Nicaragua,2016,1963
Nigeria,2016,1
Panama,2016,56
Papua New Guinea,2016,1133
Paraguay,2016,0
Peru,2016,3960
Philippines,2016,13
Rwanda,2016,244
Sierra Leone,2016,26
Sri Lanka,2016,1
Tanzania,2016,905
Thailand,2016,131
Timor-Leste,2016,68
Togo,2016,75
Trinidad & Tobago,2016,2
Uganda,2016,3543
Venezuela,2016,0
Viet Nam,2016,29721
Yemen,2016,38
Zambia,2016,10
Zimbabwe,2016,12
Angola,2017,9
Bolivia (Plurinational State of),2017,26
Brazil,2017,30925
Burundi,2017,169
Cameroon,2017,245
Central African Republic,2017,18
Colombia,2017,12985
Congo,2017,0
Costa Rica,2017,987
Côte d'Ivoire,2017,855
Cuba,2017,15
Democratic Republic of Congo,2017,89
Dominican Republic,2017,24
Ecuador,2017,695
El Salvador,2017,527
Equatorial Guinea,2017,0
Ethiopia,2017,3773
Gabon,2017,0
Ghana,2017,17
Guatemala,2017,3383
Guinea,2017,216
Guyana,2017,1
Haiti,2017,2
Honduras,2017,7341
India,2017,6542
Indonesia,2017,8198
Jamaica,2017,10
Kenya,2017,710
Lao People's Democratic Republic,2017,386
Liberia,2017,11
Madagascar,2017,58
Malawi,2017,13
Mexico,2017,2911
Nepal,2017,1
Nicaragua,2017,2449
Nigeria,2017,3
Panama,2017,50
Papua New Guinea,2017,794
Paraguay,2017,0
Peru,2017,3946
Philippines,2017,9
Rwanda,2017,246
Sierra Leone,2017,35
Sri Lanka,2017,2
Tanzania,2017,664
Thailand,2017,141
Timor-Leste,2017,86
Togo,2017,27
Trinidad & Tobago,2017,2
Uganda,2017,4774
Venezuela,2017,0
Viet Nam,2017,25092
Yemen,2017,46
Zambia,2017,13
Zimbabwe,2017,2
Angola,2018,9
Bolivia (Plurinational State of),2018,22
Brazil,2018,35637
Burundi,2018,202
Cameroon,2018,287
Central African Republic,2018,39
Colombia,2018,12808
Congo,2018,0
Costa Rica,2018,1208
Côte d'Ivoire,2018,1522
Cuba,2018,33
Democratic Republic of Congo,2018,188
Dominican Republic,2018,32
Ecuador,2018,483
El Salvador,2018,571
Equatorial Guinea,2018,0
Ethiopia,2018,3589
Gabon,2018,0
Ghana,2018,12
Guatemala,2018,3327
Guinea,2018,157
Guyana,2018,1
Haiti,2018,2
Honduras,2018,7144
India,2018,5967
Indonesia,2018,4539
Jamaica,2018,10
Kenya,2018,753
Lao People's Democratic Republic,2018,361
Liberia,2018,8
Madagascar,2018,6
Malawi,2018,12
Mexico,2018,2888
Nepal,2018,2
Nicaragua,2018,2300
Nigeria,2018,3
Panama,2018,47
Papua New Guinea,2018,870
Paraguay,2018,0
Peru,2018,4064
Philippines,2018,4
Rwanda,2018,350
Sierra Leone,2018,27
Sri Lanka,2018,2
Tanzania,2018,856
Thailand,2018,258
Timor-Leste,2018,129
Togo,2018,111
Trinidad & Tobago,2018,3
Uganda,2018,4223
Venezuela,2018,72
Viet Nam,2018,31385
Yemen,2018,42
Zambia,2018,26
Zimbabwe,2018,5
Angola,2019,23
Bolivia (Plurinational State of),2019,20
Brazil,2019,40698
Burundi,2019,293
Cameroon,2019,250
Central African Republic,2019,19
Colombia,2019,13672
Congo,2019,0
Costa Rica,2019,1039
Côte d'Ivoire,2019,2104
Cuba,2019,22
Democratic Republic of Congo,2019,205
Dominican Republic,2019,27
Ecuador,2019,506
El Salvador,2019,546
Equatorial Guinea,2019,0
Ethiopia,2019,3921
Gabon,2019,0
Ghana,2019,10
Guatemala,2019,3613
Guinea,2019,69
Guyana,2019,1
Haiti,2019,2
Honduras,2019,6765
India,2019,6028
Indonesia,2019,6334
Jamaica,2019,9
Kenya,2019,836
Lao People's Democratic Republic,2019,575
Liberia,2019,1
Madagascar,2019,4
Malawi,2019,16
Mexico,2019,2627
Nepal,2019,1
Nicaragua,2019,2954
Nigeria,2019,2
Panama,2019,51
Papua New Guinea,2019,787
Paraguay,2019,0
Peru,2019,3772
Philippines,2019,7
Rwanda,2019,389
Sierra Leone,2019,47
Sri Lanka,2019,1
Tanzania,2019,1069
Thailand,2019,174
Timor-Leste,2019,117
Togo,2019,58
Trinidad & Tobago,2019,2
Uganda,2019,4526
Venezuela,2019,53
Viet Nam,2019,27400
Yemen,2019,12
Zambia,2019,27
Zimbabwe,2019,6
